City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Laguna,US,38.421,-121.4238,81.18,43,0,3.0,clear sky
171,Nadym,RU,65.5333,72.5167,39.47,72,53,7.23,broken clouds
172,Camopi,GF,3.1655,-52.3158,78.69,95,100,3.2,heavy intensity rain
173,Aksu,CN,41.1231,80.2644,69.46,28,3,1.81,clear sky
174,Belaya Gora,RU,68.5333,146.4167,48.38,51,8,12.75,clear sky
175,Ancud,CL,-41.8697,-73.8203,49.96,98,100,3.4,moderate rain
176,Airai,TL,-8.9266,125.4092,57.69,91,54,2.73,broken clouds
177,Vao,NC,-22.6667,167.4833,72.88,74,91,6.69,overcast clouds
178,Tiksi,RU,71.6872,128.8694,37.54,96,100,3.74,overcast clouds
179,Oistins,BB,13.0667,-59.5333,86.09,70,40,24.16,scattered clouds
180,Hilton Head Island,US,32.2163,-80.7526,84.0,77,20,8.05,few clouds
181,Challans,FR,46.8436,-1.8749,61.97,90,100,15.23,light rain
182,Yellowknife,CA,62.456,-114.3525,69.57,35,100,5.99,overcast clouds
183,Kidal,ML,18.4411,1.4078,96.46,20,1,7.94,clear sky
184,Jaguaribe,BR,-5.8906,-38.6219,81.28,66,51,8.9,broken clouds
185,Panaba,MX,21.2833,-88.2667,95.65,41,81,2.33,broken clouds
186,Baijiantan,CN,45.6333,85.1833,70.52,23,68,6.06,broken clouds
187,Nuevo Progreso,MX,23.1667,-97.95,92.89,44,2,5.99,clear sky
188,Thompson,CA,55.7435,-97.8558,65.07,19,0,8.16,clear sky
189,Lavrentiya,RU,65.5833,-171.0,40.08,68,97,1.72,overcast clouds
190,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,24.16,scattered clouds
191,Cayenne,GF,4.9333,-52.3333,77.04,1,100,4.61,overcast clouds
192,Half Moon Bay,US,37.4636,-122.4286,78.91,65,20,17.27,few clouds
193,Bintulu,MY,3.1667,113.0333,76.32,86,100,3.06,overcast clouds
194,Klaksvik,FO,62.2266,-6.589,54.52,93,33,8.34,scattered clouds
195,Semme,FR,46.1963,1.5007,61.21,92,98,2.66,overcast clouds
196,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,99,6.91,overcast clouds
197,Sorland,NO,67.667,12.6934,44.46,80,15,27.78,few clouds
198,Hovd,MN,48.0056,91.6419,51.8,40,100,3.36,overcast clouds
199,Dunedin,NZ,-45.8742,170.5036,49.8,70,100,8.99,overcast clouds
